id,price,year,manufacturer,condition,fuel,odometer
531,28990,2017,bmw,good,gas,49355
532,5850,2007,honda,excellent,gas,136000
533,4550,2006,ford,excellent,gas,199000
534,5250,2004,honda,excellent,gas,163000
535,6995,2010,honda,excellent,gas,149000
536,4650,2007,chevrolet,excellent,gas,177000
537,4550,2005,mercedes-benz,good,gas,149000
538,29990,2017,jeep,good,gas,22947
539,9900,2013,ford,good,gas,165000
540,32990,2018,ram,good,gas,29979
541,26590,2019,ram,good,gas,15807
542,33990,2011,chevrolet,good,gas,70976
543,31990,2017,gmc,good,gas,31496
544,19500,2000,ford,good,diesel,237000
545,9995,1986,chevrolet,excellent,gas,61713
546,6500,2008,dodge,good,gas,100000
547,5750,2009,toyota,excellent,gas,123000
548,12750,2011,honda,excellent,gas,120000
549,7995,2003,ford,excellent,gas,131000
550,6250,2009,ford,excellent,gas,87000
551,24590,2017,chevrolet,good,gas,40784
552,39590,2020,ford,good,gas,1419
553,36990,2019,chevrolet,good,gas,14508
554,7250,2007,honda,excellent,gas,108000
555,4450,2008,ford,excellent,gas,155000
556,7950,2012,honda,excellent,gas,131000
557,29990,2012,toyota,good,gas,43182
558,30990,2019,ford,good,gas,5468
559,2000,2002,honda,good,gas,199000
560,18997,2018,kia,excellent,gas,24956
561,12997,2010,ford,good,gas,138154
562,11997,2011,ford,excellent,gas,160349
563,14997,2012,ford,good,gas,117250
564,29997,1998,chevrolet,good,diesel,104735
565,12997,2016,chevrolet,good,gas,87225
566,11997,2005,lincoln,good,gas,76286
567,7997,2004,mazda,excellent,gas,129641
568,14997,2009,chevrolet,good,gas,143923
569,11997,2008,ford,good,gas,103052
570,9497,2010,toyota,excellent,gas,80079
571,14999,2016,dodge,good,gas,112124
572,14999,2015,dodge,good,gas,103603
573,2500,2005,honda,good,gas,217083
574,15999,2016,ford,good,gas,27797
575,2000,1996,chevrolet,fair,diesel,160000
576,5550,2002,chevrolet,excellent,gas,84000
577,7850,2014,chrysler,excellent,gas,129000
578,6950,2011,ford,excellent,gas,130000
579,6250,2011,chevrolet,excellent,gas,179000
580,8775,2014,ford,excellent,gas,59000
581,3000,2007,honda,fair,gas,200000
582,7999,2014,dodge,good,gas,154191
583,6900,2010,ford,good,gas,212000
584,27990,2017,chevrolet,good,gas,22120
585,6900,2001,chevrolet,good,diesel,178000
586,19300,2017,ford,excellent,gas,13500
587,17000,2007,jeep,excellent,gas,80800
588,22990,2012,toyota,good,gas,37725
589,28590,2010,chevrolet,good,gas,16903
590,30990,2019,mazda,good,gas,4936
591,9300,2012,chevrolet,good,gas,59900
592,7850,2010,toyota,excellent,gas,152000
593,7997,2006,gmc,excellent,gas,146000
594,7995,2012,chevrolet,excellent,gas,109000
595,27590,2019,jeep,good,gas,6955
596,15999,2014,dodge,good,gas,24484
597,6900,2011,chevrolet,good,gas,172000
598,5400,2011,ford,good,gas,155000
599,5400,2012,ford,good,gas,171000
600,13500,2012,honda,excellent,gas,90900
601,6750,2008,chevrolet,excellent,gas,124000
602,13500,2013,ford,excellent,gas,165619
603,11997,2011,ford,good,gas,163341
604,32990,2018,audi,good,gas,41131
605,30590,2017,audi,good,gas,24238
606,18590,2020,kia,good,gas,16300
607,17990,2020,kia,good,gas,13444
608,32590,2013,lexus,good,gas,60271
609,5750,2010,chevrolet,excellent,gas,87000
610,7250,2009,chevrolet,excellent,gas,125000
611,6788,2009,mercury,excellent,gas,128000
612,9999,2018,kia,good,gas,39808
613,22590,2019,mitsubishi,good,gas,8577
614,9800,2012,honda,good,gas,85000
615,5900,2008,saturn,good,gas,78000
616,5400,2010,nissan,good,gas,104000
617,8900,2014,ford,good,gas,124000
618,36590,2019,volvo,good,gas,7618
619,7999,2013,hyundai,good,gas,89381
620,8499,2014,chevrolet,good,gas,116251
621,6900,2007,ford,good,gas,126000
622,7400,2013,chevrolet,good,gas,135000
623,47590,2020,lexus,good,gas,6616
624,33590,2018,acura,good,gas,20168
625,6900,2009,volkswagen,excellent,gas,3500
626,18590,2011,audi,good,gas,39200
627,32590,2020,cadillac,good,gas,14913
628,33990,2017,ram,good,gas,17033
629,52590,2015,chevrolet,good,gas,9740
